DataHora;CO_%;CO2_%;HC_ppm;O2_%;NOx_ppm;RPM;Temp_C
08:04:04.449;0,0;0,0;0;21,17;None;0;250,0
08:04:05.443;0,0;0,0;0;21,17;None;0;250,0
08:04:06.465;0,0;0,0;0;21,17;None;0;250,0
08:04:07.433;0,0;0,0;0;21,17;None;0;250,0
08:04:08.447;0,0;0,0;0;21,17;None;0;250,0
08:04:09.423;0,0;0,0;0;21,24;None;0;250,0
08:04:10.482;0,0;0,0;0;21,24;None;0;250,0
08:04:11.430;0,0;0,0;1;21,24;None;0;250,0
08:04:12.364;0,0;0,0;1;21,24;None;0;250,0
08:04:13.448;0,0;0,0;1;21,24;None;0;250,0
08:04:14.441;0,0;0,0;1;21,24;None;0;250,0
08:04:15.388;0,0;0,0;1;21,24;None;0;250,0
08:04:16.422;0,0;0,0;1;21,24;None;0;250,0
08:04:17.448;0,0;0,0;1;21,24;None;0;250,0
08:04:18.455;0,0;0,0;1;21,24;None;0;250,0
08:04:19.418;0,0;0,0;1;21,24;None;0;250,0
08:04:20.399;0,0;0,0;1;21,24;None;0;250,0
08:04:21.396;0,0;0,0;1;21,24;None;0;250,0
08:04:22.432;0,0;0,0;1;21,24;None;0;250,0
08:04:23.448;0,0;0,0;1;21,24;None;0;250,0
08:04:24.444;0,0;0,0;1;21,24;None;0;250,0
08:04:25.418;0,0;0,0;1;21,24;None;0;250,0
08:04:26.452;0,0;0,0;1;21,24;None;0;250,0
08:04:27.415;0,0;0,0;1;21,24;None;0;250,0
08:04:28.386;0,0;0,0;1;21,24;None;0;250,0
08:04:29.419;0,0;0,0;1;21,24;None;0;250,0
08:04:30.369;0,0;0,0;1;21,24;None;0;250,0
08:04:31.413;0,0;0,0;1;21,24;None;0;250,0
08:04:32.448;0,0;0,0;1;21,24;None;0;250,0
08:04:33.469;0,0;0,0;1;21,24;None;0;250,0
08:04:34.438;0,0;0,0;1;21,24;None;0;250,0
08:04:35.429;0,0;0,0;1;21,24;None;0;250,0
08:04:36.434;0,0;0,0;1;21,24;None;0;250,0
08:04:37.426;0,0;0,0;1;21,24;None;0;250,0
08:04:38.398;0,0;0,0;1;21,24;None;0;250,0
08:04:39.434;0,0;0,0;1;21,24;None;0;250,0
08:04:40.422;0,0;0,0;1;21,24;None;0;250,0
08:04:41.419;0,0;0,0;1;21,28;None;0;250,0
08:04:42.452;0,0;0,0;1;21,28;None;0;250,0
08:04:43.455;0,0;0,0;1;21,31;None;0;250,0
08:04:44.448;0,0;0,0;1;21,38;None;0;250,0
08:04:45.447;0,0;0,0;1;21,38;None;0;250,0
08:04:46.419;0,0;0,0;1;21,38;None;0;250,0
08:04:47.446;0,0;0,0;1;21,38;None;0;250,0
08:04:48.471;0,0;0,0;1;21,38;None;0;250,0
08:04:49.454;0,0;0,0;1;21,38;None;0;250,0
08:04:50.438;0,0;0,0;1;21,38;None;0;250,0
08:04:51.429;0,0;0,0;1;21,38;None;0;250,0
08:04:52.361;0,0;0,0;1;21,38;None;0;250,0
08:04:53.398;0,0;0,0;1;21,38;None;0;250,0
08:04:54.465;0,0;0,0;1;21,38;None;0;250,0
08:04:55.461;0,0;0,0;1;21,38;None;0;250,0
08:04:56.434;0,0;0,0;1;21,38;None;0;250,0
08:04:57.446;0,0;0,0;1;21,38;None;0;250,0
08:04:58.427;0,0;0,0;1;21,38;None;0;250,0
08:04:59.469;0,0;0,0;1;21,38;None;0;250,0
08:05:00.403;0,0;0,0;1;21,38;None;0;250,0
08:05:01.383;0,0;0,0;1;21,38;None;0;250,0
08:05:02.366;0,0;0,0;1;21,38;None;0;250,0
08:05:03.440;0,0;0,0;1;21,38;None;0;250,0
08:05:04.479;0,0;0,0;1;21,38;None;0;250,0
08:05:05.418;0,0;0,0;1;21,38;None;0;250,0
08:05:06.464;0,0;0,0;1;21,38;None;0;250,0
08:05:07.402;0,0;0,0;1;21,38;None;0;250,0
08:05:08.402;0,0;0,0;1;21,38;None;0;250,0
08:05:09.424;0,0;0,0;1;21,38;None;0;250,0
08:05:10.434;0,0;0,0;1;21,38;None;0;250,0
08:05:11.411;0,0;0,0;1;21,37;None;0;250,0
08:05:12.453;0,0;0,0;1;21,37;None;0;250,0
08:05:13.380;0,0;0,0;1;21,37;None;0;250,0
08:05:14.466;0,0;0,0;0;21,37;None;0;250,0
08:05:15.469;0,0;0,0;1;21,37;None;0;250,0
08:05:16.444;0,0;0,0;1;21,37;None;0;250,0
08:05:17.428;0,0;0,0;0;21,37;None;0;250,0
08:05:18.458;0,0;0,0;0;21,37;None;0;250,0
08:05:19.440;0,0;0,0;0;21,37;None;0;250,0
08:05:20.368;0,0;0,0;0;21,37;None;0;250,0
08:05:21.450;0,0;0,0;1;21,41;None;0;250,0
08:05:22.430;0,0;0,0;0;21,44;None;0;250,0
08:05:23.463;0,0;0,0;1;21,44;None;0;250,0
08:05:24.415;0,0;0,0;1;21,44;None;0;250,0
08:05:25.454;0,0;0,0;1;21,48;None;0;250,0
08:05:26.438;0,0;0,0;1;21,48;None;0;250,0
08:05:27.433;0,0;0,0;1;21,48;None;0;250,0
08:05:28.402;0,0;0,0;1;21,48;None;0;250,0
08:05:29.456;0,0;0,0;1;21,48;None;0;250,0
08:05:30.442;0,0;0,0;1;21,48;None;0;250,0
08:05:31.443;0,0;0,0;1;21,48;None;0;250,0
08:05:32.418;0,0;0,0;1;21,48;None;0;250,0
08:05:33.423;0,0;0,0;1;21,48;None;0;250,0
08:05:34.411;0,0;0,0;1;21,48;None;0;250,0
08:05:35.445;0,0;0,0;1;21,48;None;0;250,0
08:05:36.425;0,0;0,0;1;21,48;None;0;250,0
08:05:37.408;0,0;0,0;1;21,48;None;0;250,0
08:05:38.405;0,0;0,0;1;21,48;None;0;250,0
08:05:39.431;0,0;0,0;1;21,48;None;0;250,0
08:05:40.422;0,0;0,0;1;21,48;None;0;250,0
08:05:41.460;0,0;0,0;1;21,48;None;0;250,0
08:05:42.427;0,0;0,0;1;21,48;None;0;250,0
08:05:43.403;0,0;0,0;1;21,48;None;0;250,0
08:05:44.381;0,0;0,0;1;21,48;None;0;250,0
08:05:45.380;0,0;0,0;1;21,48;None;0;250,0
08:05:46.361;0,0;0,0;1;21,48;None;0;250,0
